"lat","lon","r1","R2","RECT","LAT","EASTING","Area"
68.25,0.25,65,"F0W","65F0W",68.25,0.25,1145361622
68.25,-0.25,65,"E9E","65E9E",68.25,-0.25,1145361622
68.25,-0.75,65,"E9W","65E9W",68.25,-0.75,1145361622
68.25,-1.25,65,"E8E","65E8E",68.25,-1.25,1145361622
68.25,-1.75,65,"E8W","65E8W",68.25,-1.75,1145361622
68.25,-2.25,65,"E7E","65E7E",68.25,-2.25,1145361622
68.25,-2.75,65,"E7W","65E7W",68.25,-2.75,1145361622
68.25,-3.25,65,"E6E","65E6E",68.25,-3.25,1145361622
68.25,-3.75,65,"E6W","65E6W",68.25,-3.75,1145361622
68.25,-4.25,65,"E5E","65E5E",68.25,-4.25,1145361622
68.25,-4.75,65,"E5W","65E5W",68.25,-4.75,1145361622
68.25,-5.25,65,"E4E","65E4E",68.25,-5.25,1145361622
68.25,-5.75,65,"E4W","65E4W",68.25,-5.75,1145361622
68.25,-6.25,65,"E3E","65E3E",68.25,-6.25,1145361622
68.25,-6.75,65,"E3W","65E3W",68.25,-6.75,1145361622
68.25,-7.25,65,"E2E","65E2E",68.25,-7.25,1145361622
68.25,-7.75,65,"E2W","65E2W",68.25,-7.75,1145361622
68.25,-8.25,65,"E1E","65E1E",68.25,-8.25,1145361622
68.25,-8.75,65,"E1W","65E1W",68.25,-8.75,1145361622
68.25,-9.25,65,"E0E","65E0E",68.25,-9.25,1145361622
68.25,-9.75,65,"E0W","65E0W",68.25,-9.75,1145361622
68.25,-10.25,65,"D9E","65D9E",68.25,-10.25,1145361622
68.25,-10.75,65,"D9W","65D9W",68.25,-10.75,1145361622
68.25,-11.25,65,"D8E","65D8E",68.25,-11.25,1145361622
68.25,-11.75,65,"D8W","65D8W",68.25,-11.75,1145361622
68.25,-12.25,65,"D7E","65D7E",68.25,-12.25,1145361622
68.25,-12.75,65,"D7W","65D7W",68.25,-12.75,1145361622
68.25,-13.25,65,"D6E","65D6E",68.25,-13.25,1145361622
68.25,-13.75,65,"D6W","65D6W",68.25,-13.75,1145361622
68.25,-14.25,65,"D5E","65D5E",68.25,-14.25,1145361622
68.25,-14.75,65,"D5W","65D5W",68.25,-14.75,1145361622
68.25,-15.25,65,"D4E","65D4E",68.25,-15.25,1145361622
68.25,-15.75,65,"D4W","65D4W",68.25,-15.75,1145361622
68.25,-16.25,65,"D3E","65D3E",68.25,-16.25,1145361622
68.25,-16.75,65,"D3W","65D3W",68.25,-16.75,1145361622
68.25,-17.25,65,"D2E","65D2E",68.25,-17.25,1145361622
68.25,-17.75,65,"D2W","65D2W",68.25,-17.75,1145361622
67.75,0.25,64,"F0W","64F0W",67.75,0.25,1170370773
67.75,-0.25,64,"E9E","64E9E",67.75,-0.25,1170370773
67.75,-0.75,64,"E9W","64E9W",67.75,-0.75,1170370773
67.75,-1.25,64,"E8E","64E8E",67.75,-1.25,1170370773
67.75,-1.75,64,"E8W","64E8W",67.75,-1.75,1170370773
67.75,-2.25,64,"E7E","64E7E",67.75,-2.25,1170370773
67.75,-2.75,64,"E7W","64E7W",67.75,-2.75,1170370773
67.75,-3.25,64,"E6E","64E6E",67.75,-3.25,1170370773
67.75,-3.75,64,"E6W","64E6W",67.75,-3.75,1170370773
67.75,-4.25,64,"E5E","64E5E",67.75,-4.25,1170370773
67.75,-4.75,64,"E5W","64E5W",67.75,-4.75,1170370773
67.75,-5.25,64,"E4E","64E4E",67.75,-5.25,1170370773
67.75,-5.75,64,"E4W","64E4W",67.75,-5.75,1170370773
67.75,-6.25,64,"E3E","64E3E",67.75,-6.25,1170370773
67.75,-6.75,64,"E3W","64E3W",67.75,-6.75,1170370773
67.75,-7.25,64,"E2E","64E2E",67.75,-7.25,1170370773
67.75,-7.75,64,"E2W","64E2W",67.75,-7.75,1170370773
67.75,-8.25,64,"E1E","64E1E",67.75,-8.25,1170370773
67.75,-8.75,64,"E1W","64E1W",67.75,-8.75,1170370773
67.75,-9.25,64,"E0E","64E0E",67.75,-9.25,1170370773
67.75,-9.75,64,"E0W","64E0W",67.75,-9.75,1170370773
67.75,-10.25,64,"D9E","64D9E",67.75,-10.25,1170370773
67.75,-10.75,64,"D9W","64D9W",67.75,-10.75,1170370773
67.75,-11.25,64,"D8E","64D8E",67.75,-11.25,1170370773
67.75,-11.75,64,"D8W","64D8W",67.75,-11.75,1170370773
67.75,-12.25,64,"D7E","64D7E",67.75,-12.25,1170370773
67.75,-12.75,64,"D7W","64D7W",67.75,-12.75,1170370773
67.75,-13.25,64,"D6E","64D6E",67.75,-13.25,1170370773
67.75,-13.75,64,"D6W","64D6W",67.75,-13.75,1170370773
67.75,-14.25,64,"D5E","64D5E",67.75,-14.25,1170370773
67.75,-14.75,64,"D5W","64D5W",67.75,-14.75,1170370773
67.75,-15.25,64,"D4E","64D4E",67.75,-15.25,1170370773
67.75,-15.75,64,"D4W","64D4W",67.75,-15.75,1170370773
67.75,-16.25,64,"D3E","64D3E",67.75,-16.25,1170370773
67.75,-16.75,64,"D3W","64D3W",67.75,-16.75,1170370773
67.75,-17.25,64,"D2E","64D2E",67.75,-17.25,1170370773
67.75,-17.75,64,"D2W","64D2W",67.75,-17.75,1170370773
67.25,0.25,63,"F0W","63F0W",67.25,0.25,1195290796
67.25,-0.25,63,"E9E","63E9E",67.25,-0.25,1195290796
67.25,-0.75,63,"E9W","63E9W",67.25,-0.75,1195290796
67.25,-1.25,63,"E8E","63E8E",67.25,-1.25,1195290796
67.25,-1.75,63,"E8W","63E8W",67.25,-1.75,1195290796
67.25,-2.25,63,"E7E","63E7E",67.25,-2.25,1195290796
67.25,-2.75,63,"E7W","63E7W",67.25,-2.75,1195290796
67.25,-3.25,63,"E6E","63E6E",67.25,-3.25,1195290796
67.25,-3.75,63,"E6W","63E6W",67.25,-3.75,1195290796
67.25,-4.25,63,"E5E","63E5E",67.25,-4.25,1195290796
67.25,-4.75,63,"E5W","63E5W",67.25,-4.75,1195290796
67.25,-5.25,63,"E4E","63E4E",67.25,-5.25,1195290796
67.25,-5.75,63,"E4W","63E4W",67.25,-5.75,1195290796
67.25,-6.25,63,"E3E","63E3E",67.25,-6.25,1195290796
67.25,-6.75,63,"E3W","63E3W",67.25,-6.75,1195290796
67.25,-7.25,63,"E2E","63E2E",67.25,-7.25,1195290796
67.25,-7.75,63,"E2W","63E2W",67.25,-7.75,1195290796
67.25,-8.25,63,"E1E","63E1E",67.25,-8.25,1195290796
67.25,-8.75,63,"E1W","63E1W",67.25,-8.75,1195290796
67.25,-9.25,63,"E0E","63E0E",67.25,-9.25,1195290796
67.25,-9.75,63,"E0W","63E0W",67.25,-9.75,1195290796
67.25,-10.25,63,"D9E","63D9E",67.25,-10.25,1195290796
67.25,-10.75,63,"D9W","63D9W",67.25,-10.75,1195290796
67.25,-11.25,63,"D8E","63D8E",67.25,-11.25,1195290796
67.25,-11.75,63,"D8W","63D8W",67.25,-11.75,1195290796
67.25,-12.25,63,"D7E","63D7E",67.25,-12.25,1195290796
67.25,-12.75,63,"D7W","63D7W",67.25,-12.75,1195290796
67.25,-13.25,63,"D6E","63D6E",67.25,-13.25,1195290796
67.25,-13.75,63,"D6W","63D6W",67.25,-13.75,1195290796
67.25,-14.25,63,"D5E","63D5E",67.25,-14.25,1195290796
67.25,-14.75,63,"D5W","63D5W",67.25,-14.75,1195290796
67.25,-15.25,63,"D4E","63D4E",67.25,-15.25,1195290796
67.25,-15.75,63,"D4W","63D4W",67.25,-15.75,1195290796
67.25,-16.25,63,"D3E","63D3E",67.25,-16.25,1195290796
67.25,-16.75,63,"D3W","63D3W",67.25,-16.75,1195290796
67.25,-17.25,63,"D2E","63D2E",67.25,-17.25,1195290796
67.25,-17.75,63,"D2W","63D2W",67.25,-17.75,1195290796
66.75,0.25,62,"F0W","62F0W",66.75,0.25,1220119792
66.75,-0.25,62,"E9E","62E9E",66.75,-0.25,1220119792
66.75,-0.75,62,"E9W","62E9W",66.75,-0.75,1220119792
66.75,-1.25,62,"E8E","62E8E",66.75,-1.25,1220119792
66.75,-1.75,62,"E8W","62E8W",66.75,-1.75,1220119792
66.75,-2.25,62,"E7E","62E7E",66.75,-2.25,1220119792
66.75,-2.75,62,"E7W","62E7W",66.75,-2.75,1220119792
66.75,-3.25,62,"E6E","62E6E",66.75,-3.25,1220119792
66.75,-3.75,62,"E6W","62E6W",66.75,-3.75,1220119792
66.75,-4.25,62,"E5E","62E5E",66.75,-4.25,1220119792
66.75,-4.75,62,"E5W","62E5W",66.75,-4.75,1220119792
66.75,-5.25,62,"E4E","62E4E",66.75,-5.25,1220119792
66.75,-5.75,62,"E4W","62E4W",66.75,-5.75,1220119792
66.75,-6.25,62,"E3E","62E3E",66.75,-6.25,1220119792
66.75,-6.75,62,"E3W","62E3W",66.75,-6.75,1220119792
66.75,-7.25,62,"E2E","62E2E",66.75,-7.25,1220119792
66.75,-7.75,62,"E2W","62E2W",66.75,-7.75,1220119792
66.75,-8.25,62,"E1E","62E1E",66.75,-8.25,1220119792
66.75,-8.75,62,"E1W","62E1W",66.75,-8.75,1220119792
66.75,-9.25,62,"E0E","62E0E",66.75,-9.25,1220119792
66.75,-9.75,62,"E0W","62E0W",66.75,-9.75,1220119792
66.75,-10.25,62,"D9E","62D9E",66.75,-10.25,1220119792
66.75,-10.75,62,"D9W","62D9W",66.75,-10.75,1220119792
66.75,-11.25,62,"D8E","62D8E",66.75,-11.25,1220119792
66.75,-11.75,62,"D8W","62D8W",66.75,-11.75,1220119792
66.75,-12.25,62,"D7E","62D7E",66.75,-12.25,1220119792
66.75,-12.75,62,"D7W","62D7W",66.75,-12.75,1220119792
66.75,-13.25,62,"D6E","62D6E",66.75,-13.25,1220119792
66.75,-13.75,62,"D6W","62D6W",66.75,-13.75,1220119792
66.75,-14.25,62,"D5E","62D5E",66.75,-14.25,1220119792
66.75,-14.75,62,"D5W","62D5W",66.75,-14.75,1220119792
66.75,-15.25,62,"D4E","62D4E",66.75,-15.25,1220119792
66.75,-15.75,62,"D4W","62D4W",66.75,-15.75,1220119792
66.75,-16.25,62,"D3E","62D3E",66.75,-16.25,1220119792
66.75,-16.75,62,"D3W","62D3W",66.75,-16.75,1220119792
66.75,-17.25,62,"D2E","62D2E",66.75,-17.25,1220119792
66.75,-17.75,62,"D2W","62D2W",66.75,-17.75,1220119792
66.25,0.25,61,"F0W","61F0W",66.25,0.25,1244855872
66.25,-0.25,61,"E9E","61E9E",66.25,-0.25,1244855872
66.25,-0.75,61,"E9W","61E9W",66.25,-0.75,1244855872
66.25,-1.25,61,"E8E","61E8E",66.25,-1.25,1244855872
66.25,-1.75,61,"E8W","61E8W",66.25,-1.75,1244855872
66.25,-2.25,61,"E7E","61E7E",66.25,-2.25,1244855872
66.25,-2.75,61,"E7W","61E7W",66.25,-2.75,1244855872
66.25,-3.25,61,"E6E","61E6E",66.25,-3.25,1244855872
66.25,-3.75,61,"E6W","61E6W",66.25,-3.75,1244855872
66.25,-4.25,61,"E5E","61E5E",66.25,-4.25,1244855872
66.25,-4.75,61,"E5W","61E5W",66.25,-4.75,1244855872
66.25,-5.25,61,"E4E","61E4E",66.25,-5.25,1244855872
66.25,-5.75,61,"E4W","61E4W",66.25,-5.75,1244855872
66.25,-6.25,61,"E3E","61E3E",66.25,-6.25,1244855872
66.25,-6.75,61,"E3W","61E3W",66.25,-6.75,1244855872
66.25,-7.25,61,"E2E","61E2E",66.25,-7.25,1244855872
66.25,-7.75,61,"E2W","61E2W",66.25,-7.75,1244855872
66.25,-8.25,61,"E1E","61E1E",66.25,-8.25,1244855872
66.25,-8.75,61,"E1W","61E1W",66.25,-8.75,1244855872
66.25,-9.25,61,"E0E","61E0E",66.25,-9.25,1244855872
66.25,-9.75,61,"E0W","61E0W",66.25,-9.75,1244855872
66.25,-10.25,61,"D9E","61D9E",66.25,-10.25,1244855872
66.25,-10.75,61,"D9W","61D9W",66.25,-10.75,1244855872
66.25,-11.25,61,"D8E","61D8E",66.25,-11.25,1244855872
66.25,-11.75,61,"D8W","61D8W",66.25,-11.75,1244855872
66.25,-12.25,61,"D7E","61D7E",66.25,-12.25,1244855872
66.25,-12.75,61,"D7W","61D7W",66.25,-12.75,1244855872
66.25,-13.25,61,"D6E","61D6E",66.25,-13.25,1244855872
66.25,-13.75,61,"D6W","61D6W",66.25,-13.75,1244855872
66.25,-14.25,61,"D5E","61D5E",66.25,-14.25,1244855872
66.25,-14.75,61,"D5W","61D5W",66.25,-14.75,1244855872
66.25,-15.25,61,"D4E","61D4E",66.25,-15.25,1244855872
66.25,-15.75,61,"D4W","61D4W",66.25,-15.75,1244855872
66.25,-16.25,61,"D3E","61D3E",66.25,-16.25,1244855872
66.25,-16.75,61,"D3W","61D3W",66.25,-16.75,1244855872
66.25,-17.25,61,"D2E","61D2E",66.25,-17.25,1244855872
66.25,-17.75,61,"D2W","61D2W",66.25,-17.75,1244855872
65.75,0.25,60,"F0W","60F0W",65.75,0.25,1269497151
65.75,-0.25,60,"E9E","60E9E",65.75,-0.25,1269497151
65.75,-0.75,60,"E9W","60E9W",65.75,-0.75,1269497151
65.75,-1.25,60,"E8E","60E8E",65.75,-1.25,1269497151
65.75,-1.75,60,"E8W","60E8W",65.75,-1.75,1269497151
65.75,-2.25,60,"E7E","60E7E",65.75,-2.25,1269497151
65.75,-2.75,60,"E7W","60E7W",65.75,-2.75,1269497151
65.75,-3.25,60,"E6E","60E6E",65.75,-3.25,1269497151
65.75,-3.75,60,"E6W","60E6W",65.75,-3.75,1269497151
65.75,-4.25,60,"E5E","60E5E",65.75,-4.25,1269497151
65.75,-4.75,60,"E5W","60E5W",65.75,-4.75,1269497151
65.75,-5.25,60,"E4E","60E4E",65.75,-5.25,1269497151
65.75,-5.75,60,"E4W","60E4W",65.75,-5.75,1269497151
65.75,-6.25,60,"E3E","60E3E",65.75,-6.25,1269497151
65.75,-6.75,60,"E3W","60E3W",65.75,-6.75,1269497151
65.75,-7.25,60,"E2E","60E2E",65.75,-7.25,1269497151
65.75,-7.75,60,"E2W","60E2W",65.75,-7.75,1269497151
65.75,-8.25,60,"E1E","60E1E",65.75,-8.25,1269497151
65.75,-8.75,60,"E1W","60E1W",65.75,-8.75,1269497151
65.75,-9.25,60,"E0E","60E0E",65.75,-9.25,1269497151
65.75,-9.75,60,"E0W","60E0W",65.75,-9.75,1269497151
65.75,-10.25,60,"D9E","60D9E",65.75,-10.25,1269497151
65.75,-10.75,60,"D9W","60D9W",65.75,-10.75,1269497151
65.75,-11.25,60,"D8E","60D8E",65.75,-11.25,1269497151
65.75,-11.75,60,"D8W","60D8W",65.75,-11.75,1269497151
65.75,-12.25,60,"D7E","60D7E",65.75,-12.25,1269497151
65.75,-12.75,60,"D7W","60D7W",65.75,-12.75,1269497151
65.75,-13.25,60,"D6E","60D6E",65.75,-13.25,1269497151
65.75,-13.75,60,"D6W","60D6W",65.75,-13.75,1269497151
65.75,-14.25,60,"D5E","60D5E",65.75,-14.25,1269497151
65.75,-14.75,60,"D5W","60D5W",65.75,-14.75,1269497151
65.75,-15.25,60,"D4E","60D4E",65.75,-15.25,1269497151
65.75,-15.75,60,"D4W","60D4W",65.75,-15.75,1269497151
65.75,-16.25,60,"D3E","60D3E",65.75,-16.25,1269497151
65.75,-16.75,60,"D3W","60D3W",65.75,-16.75,1269497151
65.75,-17.25,60,"D2E","60D2E",65.75,-17.25,1269497151
65.75,-17.75,60,"D2W","60D2W",65.75,-17.75,1269497151
65.25,0.25,59,"F0W","59F0W",65.25,0.25,1294041753
65.25,-0.25,59,"E9E","59E9E",65.25,-0.25,1294041753
65.25,-0.75,59,"E9W","59E9W",65.25,-0.75,1294041753
65.25,-1.25,59,"E8E","59E8E",65.25,-1.25,1294041753
