"lat","lon","r1","R2","RECT","radian","cos","Area","sea_ratio","Area_minus_land"
35.75,-6.25,0,"E3E","00E3E",0.623955208,0.811573982,2508506370,1,2508506370
35.75,-6.75,0,"E3W","00E3W",0.623955208,0.811573982,2508506370,1,2508506370
35.75,-5.75,0,"E4W","00E4W",0.623955208,0.811573982,2508506370,1,2508444742
36.25,-17.25,1,"D2E","01D2E",0.632681854,0.806444604,2492651898,1,2492651898
36.25,-17.75,1,"D2W","01D2W",0.632681854,0.806444604,2492651898,1,2492651898
36.25,-16.25,1,"D3E","01D3E",0.632681854,0.806444604,2492651898,1,2492651898
36.25,-16.75,1,"D3W","01D3W",0.632681854,0.806444604,2492651898,1,2492651898
36.25,-15.25,1,"D4E","01D4E",0.632681854,0.806444604,2492651898,1,2492651898
36.25,-15.75,1,"D4W","01D4W",0.632681854,0.806444604,2492651898,1,2492651898
36.25,-14.25,1,"D5E","01D5E",0.632681854,0.806444604,2492651898,1,2492651898
36.25,-14.75,1,"D5W","01D5W",0.632681854,0.806444604,2492651898,1,2492651898
36.25,-13.25,1,"D6E","01D6E",0.632681854,0.806444604,2492651898,1,2492651898
36.25,-13.75,1,"D6W","01D6W",0.632681854,0.806444604,2492651898,1,2492651898
36.25,-12.25,1,"D7E","01D7E",0.632681854,0.806444604,2492651898,1,2492651898
36.25,-12.75,1,"D7W","01D7W",0.632681854,0.806444604,2492651898,1,2492651898
36.25,-11.25,1,"D8E","01D8E",0.632681854,0.806444604,2492651898,1,2492651898
36.25,-11.75,1,"D8W","01D8W",0.632681854,0.806444604,2492651898,1,2492651898
36.25,-10.25,1,"D9E","01D9E",0.632681854,0.806444604,2492651898,1,2492651898
36.25,-10.75,1,"D9W","01D9W",0.632681854,0.806444604,2492651898,1,2492651898
36.25,-9.25,1,"E0E","01E0E",0.632681854,0.806444604,2492651898,1,2492651898
36.25,-9.75,1,"E0W","01E0W",0.632681854,0.806444604,2492651898,1,2492651898
36.375,-8.5,1,"E1N","01E1N",0.634863515,0.805152649,2488658573,1,2488658573
36.125,-8.5,1,"E1S","01E1S",0.630500192,0.807732722,2496633360,1,2496633328
36.375,-7.5,1,"E2N","01E2N",0.634863515,0.805152649,2488658573,1,2488658573
36.125,-7.5,1,"E2S","01E2S",0.630500192,0.807732722,2496633360,1,2496633360
36.375,-6.5,1,"E3N","01E3N",0.634863515,0.805152649,2488658573,0.822,2045327949
36.125,-6.5,1,"E3S","01E3S",0.630500192,0.807732722,2496633360,0.984,2457120921
36.25,-5.75,1,"E4W","01E4W",0.632681854,0.806444604,2492651898,0.187,466223464.8
36.25,-5.75,1,"E4W","01E4W",0.632681854,0.806444604,2492651898,0.187,466223464.8
36.75,-17.25,2,"D2E","02D2E",0.6414085,0.801253813,2476607602,1,2476607602
36.75,-17.75,2,"D2W","02D2W",0.6414085,0.801253813,2476607602,1,2476607602
36.75,-16.25,2,"D3E","02D3E",0.6414085,0.801253813,2476607602,1,2476607602
36.75,-16.75,2,"D3W","02D3W",0.6414085,0.801253813,2476607602,1,2476607602
36.75,-15.25,2,"D4E","02D4E",0.6414085,0.801253813,2476607602,1,2476607602
36.75,-15.75,2,"D4W","02D4W",0.6414085,0.801253813,2476607602,1,2476607602
36.75,-14.25,2,"D5E","02D5E",0.6414085,0.801253813,2476607602,1,2476607602
36.75,-14.75,2,"D5W","02D5W",0.6414085,0.801253813,2476607602,1,2476607602
36.75,-13.25,2,"D6E","02D6E",0.6414085,0.801253813,2476607602,1,2476607602
36.75,-13.75,2,"D6W","02D6W",0.6414085,0.801253813,2476607602,1,2476607602
36.75,-12.25,2,"D7E","02D7E",0.6414085,0.801253813,2476607602,1,2476607602
36.75,-12.75,2,"D7W","02D7W",0.6414085,0.801253813,2476607602,1,2476607602
36.75,-11.25,2,"D8E","02D8E",0.6414085,0.801253813,2476607602,1,2476607602
36.75,-11.75,2,"D8W","02D8W",0.6414085,0.801253813,2476607602,1,2476607602
36.75,-10.25,2,"D9E","02D9E",0.6414085,0.801253813,2476607602,1,2476607602
36.75,-10.75,2,"D9W","02D9W",0.6414085,0.801253813,2476607602,1,2476607602
36.75,-9.25,2,"E0E","02E0E",0.6414085,0.801253813,2476607602,1,2476607602
36.75,-9.75,2,"E0W","02E0W",0.6414085,0.801253813,2476607602,1,2476607602
36.875,-8.5,2,"E1N","02E1N",0.643590162,0.799946565,2472567010,1,2472035973
36.625,-8.5,2,"E1S","02E1S",0.639226839,0.802557247,2480636405,1,2480636374
36.875,-7.5,2,"E2N","02E2N",0.643590162,0.799946565,2472567010,0.988,2443843819
36.625,-7.5,2,"E2S","02E2S",0.639226839,0.802557247,2480636405,1,2480636405
36.875,-6.5,2,"E3N","02E3N",0.643590162,0.799946565,2472567010,0.582,1438798620
36.625,-6.5,2,"E3S","02E3S",0.639226839,0.802557247,2480636405,0.67,1662510503
37.25,-17.25,3,"D2E","03D2E",0.650135146,0.796002003,2460374702,1,2460374702
37.25,-17.75,3,"D2W","03D2W",0.650135146,0.796002003,2460374702,1,2460374702
37.25,-16.25,3,"D3E","03D3E",0.650135146,0.796002003,2460374702,1,2460374702
37.25,-16.75,3,"D3W","03D3W",0.650135146,0.796002003,2460374702,1,2460374702
37.25,-15.25,3,"D4E","03D4E",0.650135146,0.796002003,2460374702,1,2460374702
37.25,-15.75,3,"D4W","03D4W",0.650135146,0.796002003,2460374702,1,2460374702
37.25,-14.25,3,"D5E","03D5E",0.650135146,0.796002003,2460374702,1,2460374702
37.25,-14.75,3,"D5W","03D5W",0.650135146,0.796002003,2460374702,1,2460374702
37.25,-13.25,3,"D6E","03D6E",0.650135146,0.796002003,2460374702,1,2460374702
37.25,-13.75,3,"D6W","03D6W",0.650135146,0.796002003,2460374702,1,2460374702
37.25,-12.25,3,"D7E","03D7E",0.650135146,0.796002003,2460374702,1,2460374702
37.25,-12.75,3,"D7W","03D7W",0.650135146,0.796002003,2460374702,1,2460374702
37.25,-11.25,3,"D8E","03D8E",0.650135146,0.796002003,2460374702,1,2460374702
37.25,-11.75,3,"D8W","03D8W",0.650135146,0.796002003,2460374702,1,2460374702
37.25,-10.25,3,"D9E","03D9E",0.650135146,0.796002003,2460374702,1,2460374702
37.25,-10.75,3,"D9W","03D9W",0.650135146,0.796002003,2460374702,1,2460374702
37.25,-9.25,3,"E0E","03E0E",0.650135146,0.796002003,2460374702,1,2460374702
37.25,-9.75,3,"E0W","03E0W",0.650135146,0.796002003,2460374702,1,2460374702
37.25,-8.25,3,"E1E","03E1E",0.650135146,0.796002003,2460374702,0.15,369484158.8
37.25,-8.75,3,"E1W","03E1W",0.650135146,0.796002003,2460374702,0.385,946852168.7
37.375,-7.5,3,"E2N","03E2N",0.652316808,0.794679563,2456287152,0.007,16226762.65
37.125,-7.5,3,"E2S","03E2S",0.647953485,0.797320654,2464450541,0.498,1227753139
37.375,-6.5,3,"E3N","03E3N",0.652316808,0.794679563,2456287152,0.005,11887205.78
37.125,-6.5,3,"E3S","03E3S",0.647953485,0.797320654,2464450541,0.203,499911949.2
37.75,-17.25,4,"D2E","04D2E",0.658861793,0.790689574,2443954435,1,2443954435
37.75,-17.75,4,"D2W","04D2W",0.658861793,0.790689574,2443954435,1,2443954435
37.75,-16.25,4,"D3E","04D3E",0.658861793,0.790689574,2443954435,1,2443954435
37.75,-16.75,4,"D3W","04D3W",0.658861793,0.790689574,2443954435,1,2443954435
37.75,-15.25,4,"D4E","04D4E",0.658861793,0.790689574,2443954435,1,2443954435
37.75,-15.75,4,"D4W","04D4W",0.658861793,0.790689574,2443954435,1,2443954435
37.75,-14.25,4,"D5E","04D5E",0.658861793,0.790689574,2443954435,1,2443954435
37.75,-14.75,4,"D5W","04D5W",0.658861793,0.790689574,2443954435,1,2443954435
37.75,-13.25,4,"D6E","04D6E",0.658861793,0.790689574,2443954435,1,2443954435
37.75,-13.75,4,"D6W","04D6W",0.658861793,0.790689574,2443954435,1,2443954435
37.75,-12.25,4,"D7E","04D7E",0.658861793,0.790689574,2443954435,1,2443954435
37.75,-12.75,4,"D7W","04D7W",0.658861793,0.790689574,2443954435,1,2443954435
37.75,-11.25,4,"D8E","04D8E",0.658861793,0.790689574,2443954435,1,2443954435
37.75,-11.75,4,"D8W","04D8W",0.658861793,0.790689574,2443954435,1,2443954435
37.75,-10.25,4,"D9E","04D9E",0.658861793,0.790689574,2443954435,1,2443954435
37.75,-10.75,4,"D9W","04D9W",0.658861793,0.790689574,2443954435,1,2443954435
37.75,-9.25,4,"E0E","04E0E",0.658861793,0.790689574,2443954435,1,2443954435
37.75,-9.75,4,"E0W","04E0W",0.658861793,0.790689574,2443954435,1,2443954435
37.75,-8.75,4,"E1W","04E1W",0.658861793,0.790689574,2443954435,0.396,968390628.6
38.25,-17.25,5,"D2E","05D2E",0.667588439,0.785316931,2427348051,1,2427348051
38.25,-17.75,5,"D2W","05D2W",0.667588439,0.785316931,2427348051,1,2427348051
